Field,Section Repeatable,Field,subfield,Obligation,Repeatable,Description,Content,Example / CV value,Min. Quality threshold,Populated from (Data Model),Rating,Weighting,,,
dates,Yes,date,,Mandatory,Non-repeatable,The date of a particular decision point,ISO 8601,YYYY-MM-DDThh:mmTZD,YYYY,,Bronze,1,,,
,,,date type,Recommended,Non-repeatable,Defines the type of date.,Controlled Vocabulary,Published,CV term,Datacite,Silver,1,,,
Rights,Yes,Rights statement,,Optional,Non-repeatable,"Specify restraints on access / reuse (IPR, Ethics, ©)",free text,This dataset contains files of varying license and access. You may need to additional permission to download. Please contact x for further guidance.,Wordcount > 10,,Gold,1,,,
,,,License name,Recommended,Non-repeatable,Name of allocated license,free text,CC-BY-4.0,licence dictionary?,,Silver,1,,,
,,,License (URI),Optional,Non-repeatable,Identifier for license named in 12.1,http URI,https://creativecommons.org/licenses/by/4.0/,Resolvable URI,,Gold,1,,,
,,,Access,Optional,Non-repeatable,Announce access restriction level on dataset,Controlled Vocabulary,Open,CV term,,,1,,,
Resourcetypes,Yes,resourcetype,resourcetype,Mandatory,Non-repeatable,Type of data being described,Controlled Vocabulary,Image,CV term,DCMI Terms,Bronze,1,,,
,,,resource type description,Optional,Non-repeatable,"Description of resourcetype, especially for Other",free text,digital composite maps,"text if ""Other""",,Gold,1,,,
Contacts,,,Contact Name,Recommended,Repeatable,Relevant contact for dataset enquiry,free text,repository contact,"fn, ln",Contact,Silver,1,,,
,,,Contact Email,Optional,Non-repeatable,Email address for relevant contact,email address,aa.bbcc@xxx.yy.zz,email validation,,,1,,,
Languages,Yes,Language,,Optional,Non-repeatable,The language of the text in dataset,ISO 639-1,en,ISO639-1 value,,Gold,1,,,
Related Identifiers,Yes,Related Identifier,,Recommended,Non-repeatable,Globally unique identifier of related resource.,free text / http URI,9785352000199,Lookup based on ID-Type,,Silver,1,,,
,,,relatedIdentifierType,Optional,Non-repeatable,type of the RelatedIdentifier,Controlled Vocabulary,EAN13,CV term,Datacite,,1,,,
,,,relationType,Optional,Non-repeatable,relationship of the resource being registered (A) and the related resource (B).,Controlled Vocabulary,IsCitedBy,CV term,Datacite,,1,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Max score: 15,,,
,,,,,,,,,,,,Accepted: >=0,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Contributor,Optional,Repeatable,The name of a contributor,Free text,e.g. research group,,,,,,,
,,,Contributor Type,Optional,Repeatable,Describes relationship between contributor and dataset,Controlled Vocabulary,,,,,,,,
,,,(e.g. CRediT),Conceptualization,,,,,,,,,,,
,,,Data curation,,,,,,,,,,,,
,,,Formal analysis,,,,,,,,,,,,
,,,Funding acquisition,,,,,,,,,,,,
,,,Investigation,Methodology,,,,,,,,,,,
,,,Project administration,,,,,,,,,,,,
,,,Resources,,,,,,,,,,,,
,,,Software,,,,,,,,,,,,
,,,Supervision,Validation,,,,,,,,,,,
,,,Visualization,,,,,,,,,,,,
,,,Writing – original draft,,,,,,,,,,,,
,,,Writing – review & editing,,,,,,,,,,,,
,,,Contributor identifier,Optional,Repeatable,link to related profiles,http:URI,e.g. http://orcid.org/0000-0001-5352-4666,,,,,,,
,,,Contributor identifier scheme,Mandatory if 17.2 is present,Non-repeatable,The scheme of the identifier in 17.2,Free text,e.g. ORCiD,,,,,,,
,,,Contributor affiliation,Optional,Repeatable,research institute or group,free text,e.g. University of London,,,,,,,
,,,Metadata License,Optional,Repeatable,License of metadata,Free text or http URI license,e.g. CC-BY-4.0 ;,,,,,,,
,,,metadata owned by the publisher. All rights reserved,,,,,,,,,,,,
